'um-drm humdrum
'eumed humid
'eumidte humidity
'eumil humiliate
'eumilsh humiliation
'eum^l humility
'ume~ hummer
'eumr humor
'eumrus humorous
'ump hump

# Page 90 Column 1
'unch hunch
'und hundred
'udn^th hundredth
'unge~ hunger
'ungre| hungrily
'ungre hungry
'unt hunt
'untr hunter
'e~dl hurdle
'erl hurl
'erekan hurricane
'ere hurry
'e~t hurt
'e~tf hurtful
'us husband
'us^re husbandry
'ush hush
'usk husk

# Page 90 Column 2
'usken huskiness
'uske husky
'usl hustle
'ut hut
'isenth hyacinth
'ibred hybrid
i^nd hydrant
i^t hydrate
i^l hydraulic
i^klor hydrochloric
i^j hydrogen
i^mete~ hydrometer
i^pthe hydropathy
i^fob hydrophobia
i^plan hydroplane
'a&ena hyena
'ijen hygiene

# Page 90 Column 3
'ijenek hygienic
'imn Hymen
'em hymn
'iprble hyperbole
ipergr^a hypercritical
'ifn hyphen
'epn^a hypnotic
'epnotsm hypnotism
'epkrse hypocrisy
'epkret hypocrite
'epkr^a| hypocritical
'iptnus hypotenuse
'ipthekat hypothecate
'ipthess hypothesis
'ipth^a| hypothetical
'estera^' hysteria
'ester^k hysterical
