
shage shaggy
shak shake
shakn shaken
sh shall
shalo shallow

# Page 164 Column 1
sham sham
shamb shamble
shamfast shamefaced
shamfast-n shamefacedness
shamf shameful
shaml shameless
shampu shampoo
shamrok shamrock
shante shanty
shap shape
sha~ share
sha~^r shareholder
shark shark
sharp sharp
sharpn sharpen
sharpnd sharpened
sharpr sharper
shate~ shatter
shav shave
shol shawl
she she
shef sheaf
she~ shear
sheth sheathe
shed shed
shen sheen
shep sheep

# Page 164 Column 2
shepesh sheepish
she~ sheer
shet sheet
shek sheik
shekl shekel
shelf shelf
shel shell
shelfesh shellfish
shelprf shellproof
shelte~ shelter
shelterl shelterless
shepe~d shepherd
shepe~des shepherdess
sherbt sherbet
sherf sheriff
shere sherry
sheld shield
sheft shift
sheftl shiftless
shel shilling
sheme~ shimmer
shin shine
shengl shingle
sh ship
sh^bor shipboard
? sh^blr shipbuilder
shm shipment

# Page 164 Column 3
sh^r shipper
sh^rek shipwreck
sh^a|~d shipyard
sherk shirk
she~ shirr
she~t shirt
shevr shiver
shol shoal
shok shock
shok^e shockingly
shode shoddy
shu shoe
shut shoot
shop shop
shor shore
sh^ short
sh^j shortage
sh^kak shortcake
sh^k' shortcoming
sh^n shorten
sh^nd shorthand
? sh^lavd short-lived
sh^e shortly
sh^nes shortness
sh^si shortsighted
shot shot
shd should

# Page 165 Column 1
? sholdr shoulder
shaut shout
shuv shove
shuvl shovel
shaur shower
sho,e| showily
shorm showroom
sho,e showy
shred shred
shru shrew
shrud shrewd
shrek shriek
shrel shrill
shremp shrimp
shrin shrine
shenk shrink
shenkj shrinkage
shriv shrive
shrevl shrivel
shraud shroud
shrub shrub
shrub shrug
shrnkn shrunken
shuk shuck
shude~ shudder
shufl shuffle
shufl' shuffling

# Page 165 Column 2
shn shun
shnt shunt
shut shut
shute~ shutter
shutl shuttle
shines shyness
sebelans sibilance
sebelant sibilant
sek sick
sekn sicken
sekl sickle
seknes sickness
si side
siderl sidereal
sej siege
sesta siesta
sev sieve
seft sift
sefte~ sifter
sit sight
sitd sighted
sitl sightless
sin sign
sinb signable
sgn signal
seg signature
sinbor signboard

# Page 165 Column 3
sgnet signet
sg significance
sg significant
sg^f signification
sgnef signify
nil silence
silent silent
selu,t silhouette
selk silk
selkn silken
selknes silkiness
sel sell
selv silver
semel similar
semel^r similarity
seme| simile
semeletu similitude
seme~ simmer
sempr simper
semp simple
sempn simpleness
semp^s) simplicity
semp^f simplification
semplef simplify
sem^u simulate
sem^ush simulation
simul simultaneous
sens since

# Page 166 Column 1
sense sincere
sense sincerely
sens^r sincerity
sinekr sinecure
seneu sinew
seng sing
senge~ singer
seng single
senge singly
sengu singular
sengu singularly
sengu^r singularity
seneste~ sinister
senk sink
seneu^s) sinuosity
seneus sinuous
sifn siphon
sifnl siphonal
s( sir
siren siren
seloe sirloin
sste~ sister
sste~^d sisterhood
sstelo sister-in-law
sste~e sisterly
set sit
setut situate
setsh situation
siz size

# Page 166 Column 2
sizd sized
sezl sizzle
skat skate
skan skein
skletn skeleton
skeptek skeptic
skeptss skepticism
skch sketch
sked skid
skl skill
skelet skillet
sklf skillful
skem skim
sken skin
skep skip
skepr skipper
skrmesh skirmish
skrmeshe~ skirmisher
ske~t skirt
sket skit
sketsh skittish
skulk skulk
skul skull
ski sky
skili skylight
skiskrapr skyscraper
slab slab

# Page 166 Column 3
slak slack
slakn slacken
slaknd slackened
slag slag
slam slam
slandr slander
slandrus slanderous
slang slang
slant slant
